Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,IIITU,CSE (BTech),4,AI,OBC-NCL,GN,9013.0,12513.0,6
2020.0,IIITU,CSE (BTech),4,AI,SC,GN,6961.0,9208.0,6
2020.0,IIITU,CSE (BTech),4,AI,ST,GN,3718.0,4799.0,6
2020.0,IIITU,ECE (BTech),4,AI,OPEN,GN,36185.0,41291.0,6
2020.0,IIITU,ECE (BTech),4,AI,EWS,GN,6889.0,7114.0,6
2020.0,IIITU,ECE (BTech),4,AI,OBC-NCL,GN,14413.0,15738.0,6
2020.0,IIITU,ECE (BTech),4,AI,SC,GN,8233.0,10382.0,6
2020.0,IIITU,ECE (BTech),4,AI,ST,GN,4221.0,5872.0,6
2020.0,IIITU,IT (BTech),4,AI,OPEN,GN,30839.0,35683.0,6
2020.0,IIITU,IT (BTech),4,AI,EWS,GN,6217.0,6451.0,6
2020.0,IIITU,IT (BTech),4,AI,OBC-NCL,GN,12545.0,14661.0,6
2020.0,IIITU,IT (BTech),4,AI,SC,GN,7112.0,9967.0,6
2020.0,IIITU,IT (BTech),4,AI,ST,GN,3716.0,5621.0,6
2020.0,IIITS,CSE (BTech),4,AI,OPEN,GN,14201.0,28394.0,6
2020.0,IIITS,CSE (BTech),4,AI,OPEN (PwD),GN,947.0,2461.0,6
2020.0,IIITS,CSE (BTech),4,AI,EWS,GN,4740.0,5687.0,6
2020.0,IIITS,CSE (BTech),4,AI,OBC-NCL,GN,7477.0,11360.0,6
2020.0,IIITS,CSE (BTech),4,AI,SC,GN,1274.0,8889.0,6
2020.0,IIITS,CSE (BTech),4,AI,ST,GN,1969.0,4363.0,6
2020.0,IIITS,ECE (BTech),4,AI,OPEN,GN,27789.0,35758.0,6
2020.0,IIITS,ECE (BTech),4,AI,OPEN (PwD),GN,2647.0,2971.0,6
2020.0,IIITS,ECE (BTech),4,AI,EWS,GN,5892.0,6551.0,6
2020.0,IIITS,ECE (BTech),4,AI,OBC-NCL,GN,11301.0,13960.0,6
2020.0,IIITS,ECE (BTech),4,AI,SC,GN,7285.0,9746.0,6
2020.0,IIITS,ECE (BTech),4,AI,ST,GN,3621.0,4775.0,6
2020.0,IIITV,CSE (BTech),4,AI,OPEN,GN,10073.0,21250.0,6
2020.0,IIITV,CSE (BTech),4,AI,OPEN,F,17903.0,23465.0,6
2020.0,IIITV,CSE (BTech),4,AI,OPEN (PwD),GN,1073.0,1727.0,6
2020.0,IIITV,CSE (BTech),4,AI,EWS,GN,3454.0,3938.0,6
2020.0,IIITV,CSE (BTech),4,AI,EWS,F,4217.0,5639.0,6
2020.0,IIITV,CSE (BTech),4,AI,EWS (PwD),GN,260.0,260.0,6
