year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc
2024,IIT Jodhpur,IIT,21.3,26.31,22.0,4.309999999999999,22.0,19.5,,
2024,IIT Kanpur,IIT,26.27,52.8,27.6,25.199999999999996,27.6,26.27,,
2024,IIT Kharagpur,IIT,24.0,24.0,21.0,3.0,21.0,20.43,,
2024,IIT Madras,IIT,17.0,52.32,27.28,25.04,27.28,18.5,,
2024,IIT Mandi,IIT,22.38,26.55,17.75,8.8,17.75,13.36,,
2024,IIT Palakkad,IIT,19.76,19.09,11.58,7.51,15.88,11.8,,
2024,IIT Patna,IIT,17.0,17.0,17.0,0.0,17.0,17.0,,
2024,IIT Roorkee,IIT,20.0,34.07,23.52,10.55,22.1,19.56,,
2024,IIT Ropar,IIT,22.09,22.09,22.09,0.0,22.09,22.09,,
2024,IIT Tirupati,IIT,10.57,25.25,16.65,8.600000000000001,16.65,10.95,,
2024,IIT Varanasi,IIT,22.56,34.87,27.47,7.399999999999999,24.81,19.03,,
2020,IIEST Shibpur,NIT,7.3,9.5,16.5,-7.0,8.0,7.3,5.75,6.417747171406983
2020,MNIT Jaipur,NIT,9.1,18.39,9.1,9.290000000000001,9.94,13.2,6.0,10.35
2020,MNNIT Allahabad,NIT,17.19,17.68,11.0,6.68,17.68,17.68,6.54,9.0
2020,NIT Agartala,NIT,6.95,14.71,13.83,0.8800000000000008,15.0,6.5,6.95,7.0
2020,NIT Andhra Pradesh,NIT,6.54,10.7,6.29,4.409999999999999,6.54,6.0,6.54,8.13
2020,NIT Arunachal Pradesh,NIT,6.2,7.2,7.2,0.0,7.2,7.2,7.2,8.77
2020,NIT Calicut,NIT,17.68,17.68,12.11,5.57,12.11,8.0,12.0,10.68
2020,NIT Delhi,NIT,8.8,11.2,9.0,2.1999999999999993,6.4,8.8,15.59,7.736462343613898
2020,NIT Durgapur,NIT,8.0,21.45,17.49,3.960000000000001,14.61,9.72,8.0,8.87
2020,NIT Goa,NIT,10.87,9.95,8.5,1.4499999999999993,7.56,6.63,5.83,9.556289281259438
2020,NIT Hamirpur,NIT,12.84,15.75,13.0,2.75,6.5,5.0,6.77,10.42
2020,NIT Jalandhar,NIT,10.0,8.57,14.0,-5.43,11.6,7.91,7.15,7.45
2020,NIT Jamshedpur,NIT,14.7,12.63,12.63,0.0,12.63,10.91,12.63,10.2
2020,NIT Kurukshetra,NIT,11.37,17.63,9.0,8.629999999999999,10.49,8.23,7.88,9.99586100532841
2020,NIT Manipur,NIT,6.0,6.0,6.5,-0.5,6.0,6.0,6.0,8.21
2020,NIT Meghalaya,NIT,9.7,9.7,9.7,0.0,9.7,9.7,9.7,8.527691446938045
2020,NIT Mizoram,NIT,8.4,8.4,8.4,0.0,8.4,7.45,8.4,6.8
2020,NIT Nagaland,NIT,5.32,4.22,5.25,-1.0300000000000002,5.25,4.56,4.22,8.09
2020,NIT Patna,NIT,9.9,14.0,9.9,4.1,9.9,9.9,9.9,6.8
2020,NIT Puducherry,NIT,8.0,6.8,7.9,-1.1000000000000005,7.9,7.9,7.9,10.0
2020,NIT Raipur,NIT,10.8,10.8,10.8,0.0,10.8,7.77,8.53,7.6
2020,NIT Rourkela,NIT,8.0,13.8,10.6,3.200000000000001,13.62,9.8,10.5,9.36
2020,NIT Sikkim,NIT,9.5,6.0,12.57,-6.57,10.0,7.5,6.98,7.11
2020,NIT Silchar,NIT,13.34,13.86,13.34,0.5199999999999996,13.34,13.34,6.03,7.15
2020,NIT Srinagar,NIT,6.25,13.8,10.7,3.1000000000000014,9.42,9.2,8.6,6.25
2020,NIT Surathkal,NIT,19.66,19.66,16.25,3.41,16.25,18.26,16.25,16.25
2020,NIT Trichy,NIT,12.0,12.93,12.93,0.0,9.5,9.16,6.5,12.93
2020,NIT Uttarakhand,NIT,9.48,9.45,10.36,-0.9100000000000001,8.43,5.92,6.0,8.334279888347698
2020,NIT Warangal,NIT,14.35,18.55,9.4,9.15,22.0,17.29,14.35,14.8
2020,VNIT Nagpur,NIT,10.0,11.94,15.0,-3.0600000000000005,10.63,10.11,8.1,8.73
2021,IIEST Shibpur,NIT,20.0,9.5,16.5,-7.0,6.5,7.3,5.75,17.58286896275886
2021,MNIT Jaipur,NIT,10.0,18.39,18.01,0.379999999999999,9.94,13.2,10.0,10.35
2021,MNNIT Allahabad,NIT,17.19,19.08,17.68,1.3999999999999986,17.68,17.68,11.4,9.0
2021,NIT Agartala,NIT,6.0,14.71,13.83,0.8800000000000008,15.0,8.23,6.0,7.0
2021,NIT Andhra Pradesh,NIT,6.29,10.7,6.29,4.409999999999999,6.29,6.47,6.47,8.13
2021,NIT Arunachal Pradesh,NIT,7.2,7.2,7.2,0.0,7.2,7.2,7.2,8.77
2021,NIT Calicut,NIT,17.14,17.14,12.11,5.030000000000001,12.11,12.6,8.09,10.68
2021,NIT Delhi,NIT,12.2,12.2,8.4,3.799999999999999,8.1,8.8,15.59,10.725550067282905
2021,NIT Durgapur,NIT,8.0,21.45,17.49,3.960000000000001,14.61,9.72,7.39,8.87
2021,NIT Goa,NIT,7.61,9.95,8.5,1.4499999999999993,7.56,7.0,5.83,6.690281640329745
2021,NIT Hamirpur,NIT,12.84,6.5,9.5,-3.0,6.5,6.5,6.77,10.42
2021,NIT Jalandhar,NIT,8.5,8.5,14.0,-5.5,11.6,7.91,7.12,7.45
2021,NIT Jamshedpur,NIT,14.7,14.0,12.63,1.3699999999999992,12.63,12.63,12.63,10.2
2021,NIT Kurukshetra,NIT,11.37,15.54,5.0,10.54,10.49,11.37,7.88,9.99586100532841
2021,NIT Manipur,NIT,8.21,8.21,6.5,1.7100000000000009,6.4,6.0,8.21,8.21
2021,NIT Meghalaya,NIT,10.5,17.95,9.7,8.25,9.7,9.7,9.7,9.2310062054484
