year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
2021,iiit raichur,IIIT,18.0,12.14,17.01,-4.870000000000001,,,,,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
2021,iiit ranchi,IIIT,7.2,7.2,12.8,-5.6000000000000005,,,,,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
2021,iiit sri city,IIIT,18.92,18.92,10.01,8.910000000000002,,,,,Sri City,Andhra Pradesh,3,1775000,0.0,False,80.0,4.4,Available,False
2021,iiit surat,IIIT,9.48,13.5,13.99,-0.4900000000000002,,,,,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
2021,iiit una,IIIT,11.02,12.38,9.9,2.4800000000000004,,,,,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
2021,iiit vadodara,IIIT,14.08,12.0,12.0,0.0,,,,,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
2021,iiitdm jabalpur,IIIT,21.49,11.23,21.49,-10.259999999999998,,,,,Jabalpur,Madhya Pradesh,2,797000,0.0,True,260.0,4.8,Available,False
2021,iiitdm kancheepuram,IIIT,8.89,12.95,11.36,1.59,,,,,Chennai,Tamil Nadu,1,1322000,1322000.0,True,51.75,4.6,Available,True
2022,iiit gwalior,IIIT,17.0,20.11,10.0,10.11,,,,,Gwalior,Madhya Pradesh,2,907000,790000.0,True,160.0,4.7,Available,True
2022,iiit gwalior,IIIT,17.0,20.11,10.0,10.11,,,,,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
2022,iiit agartala,IIIT,23.0,15.0,23.0,-8.0,,,,,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
2022,iiit allahabad,IIIT,30.68,24.31,32.54,-8.23,,,,,Prayagraj,Uttar Pradesh,2,844000,1536000.0,True,100.0,4.5,Available,True
2022,iiit bangalore,IIIT,24.0,31.2,15.9,15.3,,,,,Bangalore,Karnataka,1,2024000,2632000.0,True,9.0,4.5,Available,True
2022,iiit bhagalpur,IIIT,12.0,9.87,11.06,-1.1900000000000013,,,,,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
2022,iiit bhopal,IIIT,14.5,13.4,9.34,4.0600000000000005,,,,,Bhopal,Madhya Pradesh,2,720000,0.0,False,0.0,4.3,Under Construction,False
2022,iiit bhubaneswar,IIIT,9.0,8.5,10.67,-2.17,,,,,Bhubaneswar,Odisha,1,996000,0.0,True,23.0,3.9,Available,False
2022,iiit delhi,IIIT,20.86,20.44,20.86,-0.4199999999999981,,,,,Delhi,Delhi,1,2399000,0.0,True,25.0,4.5,Available,False
2022,iiit dharwad,IIIT,8.0,8.7,8.0,0.6999999999999993,,,,,Dharwad,Karnataka,3,1630000,0.0,True,60.0,4.5,Available,False
2022,iiit guwahati,IIIT,15.34,13.72,10.67,3.0500000000000007,,,,,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
2022,iiit hyderabad,IIIT,30.5,29.7,29.0,0.6999999999999993,,,,,Hyderabad,Telangana,1,1800000,2000000.0,True,66.0,4.7,Available,True
2022,iiit kalyani,IIIT,10.71,9.13,10.73,-1.5999999999999996,,,,,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
2022,iiit kota,IIIT,14.37,12.35,12.37,-0.0199999999999995,,,,,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
2022,iiit kottayam,IIIT,10.45,11.2,10.45,0.75,,,,,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
2022,iiit kurnool,IIIT,9.51,8.0,9.51,-1.5099999999999998,,,,,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
2022,iiit lucknow,IIIT,26.07,26.85,26.07,0.7800000000000011,,,,,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
2022,iiit manipur,IIIT,9.9,8.3,9.9,-1.5999999999999996,,,,,Imphal,Manipur,1,1197000,0.0,True,13.0,3.6,Available,False
2022,iiit nagpur,IIIT,12.04,12.44,10.1,2.34,,,,,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
2022,iiit naya raipur,IIIT,12.67,14.75,10.72,4.029999999999999,,,,,Naya Raipur,Chhattisgarh,2,653250,840000.0,True,50.0,4.3,Available,True
2022,iiit pune,IIIT,16.83,12.95,16.83,-3.879999999999999,,,,,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
2022,iiit raichur,IIIT,22.5,10.8,22.5,-11.7,,,,,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
2022,iiit ranchi,IIIT,12.8,10.14,12.8,-2.66,,,,,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
2022,iiit sri city,IIIT,14.0,13.2,9.48,3.719999999999999,,,,,Sri City,Andhra Pradesh,3,1775000,0.0,False,80.0,4.4,Available,False
2022,iiit surat,IIIT,12.1,12.7,13.52,-0.8200000000000003,,,,,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
2022,iiit una,IIIT,12.1,9.24,11.0,-1.7599999999999998,,,,,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
2022,iiit vadodara,IIIT,14.08,10.44,14.08,-3.640000000000001,,,,,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
2022,iiitdm jabalpur,IIIT,14.81,16.27,14.46,1.8099999999999987,,,,,Jabalpur,Madhya Pradesh,2,797000,0.0,True,260.0,4.8,Available,False
2022,iiitdm kancheepuram,IIIT,10.2,11.6,11.36,0.2400000000000002,,,,,Chennai,Tamil Nadu,1,1322000,1322000.0,True,51.75,4.6,Available,True
2023,iiit gwalior,IIIT,24.31,22.2,24.31,-2.109999999999999,,,,,Gwalior,Madhya Pradesh,2,907000,790000.0,True,160.0,4.7,Available,True
